id,Region,Year,male_participants,female_participants,total_participants,male_participation_rate,female_participation_rate
1956_ROU,ROU,1956,52,17,69,0.754,0.246
1960_ROU,ROU,1960,82,16,98,0.837,0.163
1964_ROU,ROU,1964,135,30,165,0.818,0.182
1968_ROU,ROU,1968,95,17,112,0.848,0.152
1972_ROU,ROU,1972,145,27,172,0.843,0.157
1976_ROU,ROU,1976,135,54,189,0.714,0.286
1980_ROU,ROU,1980,187,76,263,0.711,0.289
1984_ROU,ROU,1984,87,56,143,0.608,0.392
1988_ROU,ROU,1988,37,42,79,0.468,0.532
1992_ROU,ROU,1992,119,77,196,0.607,0.393
1996_ROU,ROU,1996,98,67,165,0.594,0.406
2000_ROU,ROU,2000,71,74,145,0.49,0.51
2004_ROU,ROU,2004,50,58,108,0.463,0.537
2008_ROU,ROU,2008,40,61,101,0.396,0.604
2012_ROU,ROU,2012,55,50,105,0.524,0.476
2016_ROU,ROU,2016,34,61,95,0.358,0.642
1904_RSA,RSA,1904,8,0,8,1,0
1908_RSA,RSA,1908,14,0,14,1,0
1912_RSA,RSA,1912,21,0,21,1,0
1920_RSA,RSA,1920,38,1,39,0.974,0.026
1924_RSA,RSA,1924,30,0,30,1,0
1928_RSA,RSA,1928,18,6,24,0.75,0.25
1932_RSA,RSA,1932,10,2,12,0.833,0.167
1936_RSA,RSA,1936,27,5,32,0.844,0.156
1948_RSA,RSA,1948,34,1,35,0.971,0.029
1952_RSA,RSA,1952,60,4,64,0.938,0.063
1956_RSA,RSA,1956,44,6,50,0.88,0.12
1960_RSA,RSA,1960,54,5,59,0.915,0.085
1992_RSA,RSA,1992,68,25,93,0.731,0.269
1996_RSA,RSA,1996,64,20,84,0.762,0.238
2000_RSA,RSA,2000,89,38,127,0.701,0.299
2004_RSA,RSA,2004,66,40,106,0.623,0.377
2008_RSA,RSA,2008,75,59,134,0.56,0.44
2012_RSA,RSA,2012,68,56,124,0.548,0.452
2016_RSA,RSA,2016,93,42,135,0.689,0.311
1900_RUS,RUS,1900,4,0,4,1,0
1908_RUS,RUS,1908,6,0,6,1,0
1912_RUS,RUS,1912,159,0,159,1,0
1924_RUS,RUS,1924,2,1,3,0.667,0.333
1996_RUS,RUS,1996,232,158,390,0.595,0.405
2000_RUS,RUS,2000,241,194,435,0.554,0.446
2004_RUS,RUS,2004,244,202,446,0.547,0.453
2008_RUS,RUS,2008,231,223,454,0.509,0.491
2012_RUS,RUS,2012,203,226,429,0.473,0.527
2016_RUS,RUS,2016,142,142,284,0.5,0.5
1984_RWA,RWA,1984,2,1,3,0.667,0.333
1988_RWA,RWA,1988,3,3,6,0.5,0.5
1992_RWA,RWA,1992,7,3,10,0.7,0.3
1996_RWA,RWA,1996,4,0,4,1,0
2000_RWA,RWA,2000,3,2,5,0.6,0.4
2004_RWA,RWA,2004,3,2,5,0.6,0.4
2008_RWA,RWA,2008,2,2,4,0.5,0.5
2012_RWA,RWA,2012,5,2,7,0.714,0.286
2016_RWA,RWA,2016,4,3,7,0.571,0.429
1952_SAA,SAA,1952,31,5,36,0.861,0.139
1984_SAM,SAM,1984,8,0,8,1,0
1988_SAM,SAM,1988,11,0,11,1,0
1992_SAM,SAM,1992,5,0,5,1,0
1996_SAM,SAM,1996,4,1,5,0.8,0.2
2000_SAM,SAM,2000,4,1,5,0.8,0.2
2004_SAM,SAM,2004,2,1,3,0.667,0.333
2008_SAM,SAM,2008,4,2,6,0.667,0.333
2012_SAM,SAM,2012,5,3,8,0.625,0.375
2016_SAM,SAM,2016,5,3,8,0.625,0.375
1996_SCG,SCG,1996,59,9,68,0.868,0.132
2000_SCG,SCG,2000,92,17,109,0.844,0.156
2004_SCG,SCG,2004,78,7,85,0.918,0.082
1964_SEN,SEN,1964,12,0,12,1,0
1968_SEN,SEN,1968,21,0,21,1,0
1972_SEN,SEN,1972,38,0,38,1,0
1976_SEN,SEN,1976,19,2,21,0.905,0.095
1980_SEN,SEN,1980,30,2,32,0.938,0.063
1984_SEN,SEN,1984,24,1,25,0.96,0.04
1988_SEN,SEN,1988,22,1,23,0.957,0.043
1992_SEN,SEN,1992,20,2,22,0.909,0.091
1996_SEN,SEN,1996,11,0,11,1,0
2000_SEN,SEN,2000,7,19,26,0.269,0.731
2004_SEN,SEN,2004,6,9,15,0.4,0.6
2008_SEN,SEN,2008,8,7,15,0.533,0.467
2012_SEN,SEN,2012,24,7,31,0.774,0.226
2016_SEN,SEN,2016,6,16,22,0.273,0.727
1980_SEY,SEY,1980,9,2,11,0.818,0.182
1984_SEY,SEY,1984,8,1,9,0.889,0.111
1992_SEY,SEY,1992,10,1,11,0.909,0.091
1996_SEY,SEY,1996,8,1,9,0.889,0.111
2000_SEY,SEY,2000,6,3,9,0.667,0.333
2004_SEY,SEY,2004,7,2,9,0.778,0.222
2008_SEY,SEY,2008,6,3,9,0.667,0.333
2012_SEY,SEY,2012,4,2,6,0.667,0.333
2016_SEY,SEY,2016,8,2,10,0.8,0.2
1948_SGP,SGP,1948,1,0,1,1,0
1952_SGP,SGP,1952,4,1,5,0.8,0.2
1956_SGP,SGP,1956,47,2,49,0.959,0.041
1960_SGP,SGP,1960,5,0,5,1,0
1968_SGP,SGP,1968,4,0,4,1,0
1972_SGP,SGP,1972,5,2,7,0.714,0.286
1976_SGP,SGP,1976,3,1,4,0.75,0.25
1984_SGP,SGP,1984,5,0,5,1,0
1988_SGP,SGP,1988,7,1,8,0.875,0.125
1992_SGP,SGP,1992,11,3,14,0.786,0.214
1996_SGP,SGP,1996,9,5,14,0.643,0.357
2000_SGP,SGP,2000,8,6,14,0.571,0.429
2004_SGP,SGP,2004,6,10,16,0.375,0.625
2008_SGP,SGP,2008,11,14,25,0.44,0.56
2012_SGP,SGP,2012,8,15,23,0.348,0.652
2016_SGP,SGP,2016,9,16,25,0.36,0.64
1996_SKN,SKN,1996,4,6,10,0.4,0.6
2000_SKN,SKN,2000,1,1,2,0.5,0.5
2004_SKN,SKN,2004,1,1,2,0.5,0.5
2008_SKN,SKN,2008,1,3,4,0.25,0.75
2012_SKN,SKN,2012,4,0,4,1,0
2016_SKN,SKN,2016,5,1,6,0.833,0.167
1968_SLE,SLE,1968,3,0,3,1,0
1980_SLE,SLE,1980,12,2,14,0.857,0.143
1984_SLE,SLE,1984,6,1,7,0.857,0.143
1988_SLE,SLE,1988,11,1,12,0.917,0.083
1992_SLE,SLE,1992,9,2,11,0.818,0.182
1996_SLE,SLE,1996,10,4,14,0.714,0.286
2000_SLE,SLE,2000,2,1,3,0.667,0.333
2004_SLE,SLE,2004,1,1,2,0.5,0.5
2008_SLE,SLE,2008,2,1,3,0.667,0.333
2012_SLE,SLE,2012,1,1,2,0.5,0.5
2016_SLE,SLE,2016,2,2,4,0.5,0.5
1992_SLO,SLO,1992,49,13,62,0.79,0.21
1996_SLO,SLO,1996,25,12,37,0.676,0.324
2000_SLO,SLO,2000,55,19,74,0.743,0.257
2004_SLO,SLO,2004,56,23,79,0.709,0.291
2008_SLO,SLO,2008,40,21,61,0.656,0.344
2012_SLO,SLO,2012,28,37,65,0.431,0.569
2016_SLO,SLO,2016,39,24,63,0.619,0.381
1960_SMR,SMR,1960,9,0,9,1,0
1968_SMR,SMR,1968,4,0,4,1,0
1972_SMR,SMR,1972,7,0,7,1,0
1976_SMR,SMR,1976,10,2,12,0.833,0.167
1980_SMR,SMR,1980,16,0,16,1,0
1984_SMR,SMR,1984,21,1,22,0.955,0.045
1988_SMR,SMR,1988,16,0,16,1,0
1992_SMR,SMR,1992,19,1,20,0.95,0.05
1996_SMR,SMR,1996,6,1,7,0.857,0.143
2000_SMR,SMR,2000,3,1,4,0.75,0.25
2004_SMR,SMR,2004,4,1,5,0.8,0.2
2008_SMR,SMR,2008,2,2,4,0.5,0.5
2012_SMR,SMR,2012,1,3,4,0.25,0.75
2016_SMR,SMR,2016,2,2,4,0.5,0.5
1984_SOL,SOL,1984,3,0,3,1,0
1988_SOL,SOL,1988,4,0,4,1,0
1992_SOL,SOL,1992,1,0,1,1,0
1996_SOL,SOL,1996,3,1,4,0.75,0.25
2000_SOL,SOL,2000,1,1,2,0.5,0.5
2004_SOL,SOL,2004,1,1,2,0.5,0.5
2008_SOL,SOL,2008,1,2,3,0.333,0.667
2012_SOL,SOL,2012,2,2,4,0.5,0.5
2016_SOL,SOL,2016,1,2,3,0.333,0.667
1972_SOM,SOM,1972,3,0,3,1,0
1984_SOM,SOM,1984,7,0,7,1,0
1988_SOM,SOM,1988,5,0,5,1,0
1996_SOM,SOM,1996,4,0,4,1,0
2000_SOM,SOM,2000,1,1,2,0.5,0.5
2004_SOM,SOM,2004,1,1,2,0.5,0.5
2008_SOM,SOM,2008,1,1,2,0.5,0.5
2012_SOM,SOM,2012,1,1,2,0.5,0.5
2016_SOM,SOM,2016,1,1,2,0.5,0.5
1912_SRB,SRB,1912,2,0,2,1,0
2008_SRB,SRB,2008,63,24,87,0.724,0.276
2012_SRB,SRB,2012,80,36,116,0.69,0.31
2016_SRB,SRB,2016,58,45,103,0.563,0.437
1948_SRI,SRI,1948,7,0,7,1,0
1952_SRI,SRI,1952,5,0,5,1,0
1956_SRI,SRI,1956,3,0,3,1,0
1960_SRI,SRI,1960,5,0,5,1,0
1964_SRI,SRI,1964,6,0,6,1,0
1968_SRI,SRI,1968,3,0,3,1,0
1972_SRI,SRI,1972,4,0,4,1,0
1980_SRI,SRI,1980,4,0,4,1,0
1984_SRI,SRI,1984,4,0,4,1,0
1988_SRI,SRI,1988,4,2,6,0.667,0.333
1992_SRI,SRI,1992,5,6,11,0.455,0.545
1996_SRI,SRI,1996,5,4,9,0.556,0.444
2000_SRI,SRI,2000,9,9,18,0.5,0.5
2004_SRI,SRI,2004,4,3,7,0.571,0.429
2008_SRI,SRI,2008,4,4,8,0.5,0.5
2012_SRI,SRI,2012,4,3,7,0.571,0.429
2016_SRI,SRI,2016,7,2,9,0.778,0.222
2016_SSD,SSD,2016,2,1,3,0.667,0.333
1996_STP,STP,1996,1,1,2,0.5,0.5
2000_STP,STP,2000,1,1,2,0.5,0.5
2004_STP,STP,2004,1,1,2,0.5,0.5
2008_STP,STP,2008,2,1,3,0.667,0.333
2012_STP,STP,2012,1,1,2,0.5,0.5
2016_STP,STP,2016,2,1,3,0.667,0.333
1960_SUD,SUD,1960,10,0,10,1,0
1968_SUD,SUD,1968,5,0,5,1,0
1972_SUD,SUD,1972,26,0,26,1,0
1984_SUD,SUD,1984,7,0,7,1,0
1988_SUD,SUD,1988,8,0,8,1,0
1992_SUD,SUD,1992,6,0,6,1,0
1996_SUD,SUD,1996,4,0,4,1,0
2000_SUD,SUD,2000,2,1,3,0.667,0.333
2004_SUD,SUD,2004,3,1,4,0.75,0.25
2008_SUD,SUD,2008,5,4,9,0.556,0.444
2012_SUD,SUD,2012,4,2,6,0.667,0.333
2016_SUD,SUD,2016,4,2,6,0.667,0.333
1896_SUI,SUI,1896,3,0,3,1,0
1900_SUI,SUI,1900,17,1,18,0.944,0.056
1904_SUI,SUI,1904,3,0,3,1,0
1908_SUI,SUI,1908,1,0,1,1,0
1912_SUI,SUI,1912,7,0,7,1,0
1920_SUI,SUI,1920,77,0,77,1,0
1924_SUI,SUI,1924,165,5,170,0.971,0.029
1928_SUI,SUI,1928,171,2,173,0.988,0.012
1932_SUI,SUI,1932,14,0,14,1,0
1936_SUI,SUI,1936,214,10,224,0.955,0.045
1948_SUI,SUI,1948,237,19,256,0.926,0.074
1952_SUI,SUI,1952,194,18,212,0.915,0.085
1956_SUI,SUI,1956,60,8,68,0.882,0.118
1960_SUI,SUI,1960,161,9,170,0.947,0.053
1964_SUI,SUI,1964,125,13,138,0.906,0.094
1968_SUI,SUI,1968,110,9,119,0.924,0.076
1972_SUI,SUI,1972,168,35,203,0.828,0.172
1976_SUI,SUI,1976,99,10,109,0.908,0.092
1980_SUI,SUI,1980,100,17,117,0.855,0.145
1984_SUI,SUI,1984,131,40,171,0.766,0.234
1988_SUI,SUI,1988,128,41,169,0.757,0.243
1992_SUI,SUI,1992,130,46,176,0.739,0.261
1996_SUI,SUI,1996,72,43,115,0.626,0.374
2000_SUI,SUI,2000,64,38,102,0.627,0.373
2004_SUI,SUI,2004,59,39,98,0.602,0.398
2008_SUI,SUI,2008,47,36,83,0.566,0.434
2012_SUI,SUI,2012,70,28,98,0.714,0.286
2016_SUI,SUI,2016,57,45,102,0.559,0.441
1968_SUR,SUR,1968,1,0,1,1,0
1972_SUR,SUR,1972,2,0,2,1,0
1976_SUR,SUR,1976,3,0,3,1,0
1984_SUR,SUR,1984,5,0,5,1,0
1988_SUR,SUR,1988,4,2,6,0.667,0.333
1992_SUR,SUR,1992,5,1,6,0.833,0.167
1996_SUR,SUR,1996,5,2,7,0.714,0.286
2000_SUR,SUR,2000,2,2,4,0.5,0.5
2004_SUR,SUR,2004,2,2,4,0.5,0.5
2008_SUR,SUR,2008,2,2,4,0.5,0.5
2012_SUR,SUR,2012,3,2,5,0.6,0.4
2016_SUR,SUR,2016,4,2,6,0.667,0.333
1996_SVK,SVK,1996,58,13,71,0.817,0.183
2000_SVK,SVK,2000,81,27,108,0.75,0.25
2004_SVK,SVK,2004,48,16,64,0.75,0.25
2008_SVK,SVK,2008,35,22,57,0.614,0.386
2012_SVK,SVK,2012,26,21,47,0.553,0.447
2016_SVK,SVK,2016,32,19,51,0.627,0.373
1896_SWE,SWE,1896,1,0,1,1,0
1900_SWE,SWE,1900,10,0,10,1,0
1908_SWE,SWE,1908,165,3,168,0.982,0.018
1912_SWE,SWE,1912,421,23,444,0.948,0.052
1920_SWE,SWE,1920,247,13,260,0.95,0.05
1924_SWE,SWE,1924,177,13,190,0.932,0.068
1928_SWE,SWE,1928,111,13,124,0.895,0.105
1932_SWE,SWE,1932,89,4,93,0.957,0.043
1936_SWE,SWE,1936,193,9,202,0.955,0.045
1948_SWE,SWE,1948,203,20,223,0.91,0.09
1952_SWE,SWE,1952,239,32,271,0.882,0.118
1956_SWE,SWE,1956,133,22,155,0.858,0.142
1960_SWE,SWE,1960,156,25,181,0.862,0.138
1964_SWE,SWE,1964,125,26,151,0.828,0.172
1968_SWE,SWE,1968,145,23,168,0.863,0.137
1972_SWE,SWE,1972,153,36,189,0.81,0.19
1976_SWE,SWE,1976,129,26,155,0.832,0.168
1980_SWE,SWE,1980,171,35,206,0.83,0.17
1984_SWE,SWE,1984,181,52,233,0.777,0.223
1988_SWE,SWE,1988,202,50,252,0.802,0.198
1992_SWE,SWE,1992,199,61,260,0.765,0.235
1996_SWE,SWE,1996,111,66,177,0.627,0.373
2000_SWE,SWE,2000,98,52,150,0.653,0.347
2004_SWE,SWE,2004,62,53,115,0.539,0.461
2008_SWE,SWE,2008,50,73,123,0.407,0.593
2012_SWE,SWE,2012,55,78,133,0.414,0.586
2016_SWE,SWE,2016,64,86,150,0.427,0.573
1972_SWZ,SWZ,1972,2,0,2,1,0
1984_SWZ,SWZ,1984,8,0,8,1,0
1988_SWZ,SWZ,1988,11,0,11,1,0
1992_SWZ,SWZ,1992,7,0,7,1,0
1996_SWZ,SWZ,1996,5,1,6,0.833,0.167
2000_SWZ,SWZ,2000,4,2,6,0.667,0.333
2004_SWZ,SWZ,2004,2,1,3,0.667,0.333
2008_SWZ,SWZ,2008,2,2,4,0.5,0.5
2012_SWZ,SWZ,2012,2,1,3,0.667,0.333
2016_SWZ,SWZ,2016,1,1,2,0.5,0.5
1948_SYR,SYR,1948,1,0,1,1,0
1968_SYR,SYR,1968,2,0,2,1,0
1972_SYR,SYR,1972,4,1,5,0.8,0.2
1980_SYR,SYR,1980,65,2,67,0.97,0.03
1984_SYR,SYR,1984,9,0,9,1,0
1988_SYR,SYR,1988,13,0,13,1,0
1992_SYR,SYR,1992,7,1,8,0.875,0.125
1996_SYR,SYR,1996,6,1,7,0.857,0.143
2000_SYR,SYR,2000,6,2,8,0.75,0.25
2004_SYR,SYR,2004,5,1,6,0.833,0.167
2008_SYR,SYR,2008,6,1,7,0.857,0.143
2012_SYR,SYR,2012,6,4,10,0.6,0.4
2016_SYR,SYR,2016,4,3,7,0.571,0.429
1964_TAN,TAN,1964,4,0,4,1,0
1968_TAN,TAN,1968,4,0,4,1,0
1972_TAN,TAN,1972,15,0,15,1,0
1980_TAN,TAN,1980,36,5,41,0.878,0.122
1984_TAN,TAN,1984,16,2,18,0.889,0.111
1988_TAN,TAN,1988,10,0,10,1,0
1992_TAN,TAN,1992,9,0,9,1,0
1996_TAN,TAN,1996,6,1,7,0.857,0.143
2000_TAN,TAN,2000,3,1,4,0.75,0.25
2004_TAN,TAN,2004,6,2,8,0.75,0.25
2008_TAN,TAN,2008,7,2,9,0.778,0.222
2012_TAN,TAN,2012,4,2,6,0.667,0.333
2016_TAN,TAN,2016,5,2,7,0.714,0.286
1920_TCH,TCH,1920,118,1,119,0.992,0.008
1924_TCH,TCH,1924,156,4,160,0.975,0.025
1928_TCH,TCH,1928,92,2,94,0.979,0.021
1932_TCH,TCH,1932,31,0,31,1,0
1936_TCH,TCH,1936,215,19,234,0.919,0.081
1948_TCH,TCH,1948,114,20,134,0.851,0.149
1952_TCH,TCH,1952,108,13,121,0.893,0.107
1956_TCH,TCH,1956,86,18,104,0.827,0.173
1960_TCH,TCH,1960,119,18,137,0.869,0.131
1964_TCH,TCH,1964,131,19,150,0.873,0.127
1968_TCH,TCH,1968,135,34,169,0.799,0.201
1972_TCH,TCH,1972,182,40,222,0.82,0.18
1976_TCH,TCH,1976,172,49,221,0.778,0.222
1980_TCH,TCH,1980,196,54,250,0.784,0.216
1984_TCH,TCH,1984,38,12,50,0.76,0.24
1988_TCH,TCH,1988,159,63,222,0.716,0.284
1992_TCH,TCH,1992,201,81,282,0.713,0.287
1984_TGA,TGA,1984,7,0,7,1,0
1988_TGA,TGA,1988,4,1,5,0.8,0.2
1992_TGA,TGA,1992,5,0,5,1,0
1996_TGA,TGA,1996,4,1,5,0.8,0.2
2000_TGA,TGA,2000,2,1,3,0.667,0.333
2004_TGA,TGA,2004,4,1,5,0.8,0.2
2008_TGA,TGA,2008,2,1,3,0.667,0.333
2012_TGA,TGA,2012,2,1,3,0.667,0.333
2016_TGA,TGA,2016,4,3,7,0.571,0.429
1952_THA,THA,1952,8,0,8,1,0
1956_THA,THA,1956,35,0,35,1,0
1960_THA,THA,1960,20,0,20,1,0
1964_THA,THA,1964,47,7,54,0.87,0.13
1968_THA,THA,1968,41,0,41,1,0
1972_THA,THA,1972,33,0,33,1,0
1976_THA,THA,1976,39,3,42,0.929,0.071
1984_THA,THA,1984,25,10,35,0.714,0.286
1988_THA,THA,1988,12,2,14,0.857,0.143
1992_THA,THA,1992,23,23,46,0.5,0.5
1996_THA,THA,1996,25,12,37,0.676,0.324
2000_THA,THA,2000,34,18,52,0.654,0.346
2004_THA,THA,2004,24,18,42,0.571,0.429
2008_THA,THA,2008,22,25,47,0.468,0.532
2012_THA,THA,2012,19,18,37,0.514,0.486
2016_THA,THA,2016,26,28,54,0.481,0.519
1996_TJK,TJK,1996,6,2,8,0.75,0.25
2000_TJK,TJK,2000,2,2,4,0.5,0.5
2004_TJK,TJK,2004,5,4,9,0.556,0.444
2008_TJK,TJK,2008,12,3,15,0.8,0.2
2012_TJK,TJK,2012,13,3,16,0.813,0.188
2016_TJK,TJK,2016,5,2,7,0.714,0.286
1996_TKM,TKM,1996,4,3,7,0.571,0.429
2000_TKM,TKM,2000,4,4,8,0.5,0.5
2004_TKM,TKM,2004,6,3,9,0.667,0.333
2008_TKM,TKM,2008,6,4,10,0.6,0.4
2012_TKM,TKM,2012,7,3,10,0.7,0.3
2016_TKM,TKM,2016,4,5,9,0.444,0.556
2004_TLS,TLS,2004,1,1,2,0.5,0.5
2008_TLS,TLS,2008,0,1,1,0,1
2012_TLS,TLS,2012,1,1,2,0.5,0.5
2016_TLS,TLS,2016,1,2,3,0.333,0.667
1972_TOG,TOG,1972,7,0,7,1,0
1984_TOG,TOG,1984,6,0,6,1,0
1988_TOG,TOG,1988,6,0,6,1,0
1992_TOG,TOG,1992,6,0,6,1,0
1996_TOG,TOG,1996,5,0,5,1,0
2000_TOG,TOG,2000,2,1,3,0.667,0.333
2004_TOG,TOG,2004,2,1,3,0.667,0.333
2008_TOG,TOG,2008,3,1,4,0.75,0.25
2012_TOG,TOG,2012,4,2,6,0.667,0.333
2016_TOG,TOG,2016,2,3,5,0.4,0.6
1956_TPE,TPE,1956,20,0,20,1,0
1960_TPE,TPE,1960,24,3,27,0.889,0.111
1964_TPE,TPE,1964,37,3,40,0.925,0.075
1968_TPE,TPE,1968,35,8,43,0.814,0.186
1972_TPE,TPE,1972,20,6,26,0.769,0.231
1976_TPE,TPE,1976,6,0,6,1,0
1984_TPE,TPE,1984,41,9,50,0.82,0.18
1988_TPE,TPE,1988,54,20,74,0.73,0.27
1992_TPE,TPE,1992,31,8,39,0.795,0.205
1996_TPE,TPE,1996,32,42,74,0.432,0.568
2000_TPE,TPE,2000,21,34,55,0.382,0.618
2004_TPE,TPE,2004,49,39,88,0.557,0.443
2008_TPE,TPE,2008,43,36,79,0.544,0.456
2012_TPE,TPE,2012,19,25,44,0.432,0.568
2016_TPE,TPE,2016,26,29,55,0.473,0.527
1948_TTO,TTO,1948,5,0,5,1,0
1952_TTO,TTO,1952,2,0,2,1,0
1956_TTO,TTO,1956,6,0,6,1,0
1964_TTO,TTO,1964,13,0,13,1,0
1968_TTO,TTO,1968,19,0,19,1,0
1972_TTO,TTO,1972,18,1,19,0.947,0.053
1976_TTO,TTO,1976,13,0,13,1,0
1980_TTO,TTO,1980,9,0,9,1,0
1984_TTO,TTO,1984,11,5,16,0.688,0.313
1988_TTO,TTO,1988,4,2,6,0.667,0.333
1992_TTO,TTO,1992,7,0,7,1,0
1996_TTO,TTO,1996,8,4,12,0.667,0.333
2000_TTO,TTO,2000,14,5,19,0.737,0.263
2004_TTO,TTO,2004,10,9,19,0.526,0.474
2008_TTO,TTO,2008,17,11,28,0.607,0.393
2012_TTO,TTO,2012,18,7,25,0.72,0.28
2016_TTO,TTO,2016,18,10,28,0.643,0.357
1960_TUN,TUN,1960,42,0,42,1,0
1964_TUN,TUN,1964,9,0,9,1,0
1968_TUN,TUN,1968,7,0,7,1,0
1972_TUN,TUN,1972,35,0,35,1,0
1976_TUN,TUN,1976,14,1,15,0.933,0.067
1984_TUN,TUN,1984,22,1,23,0.957,0.043
1988_TUN,TUN,1988,39,2,41,0.951,0.049
1992_TUN,TUN,1992,11,2,13,0.846,0.154
1996_TUN,TUN,1996,45,6,51,0.882,0.118
2000_TUN,TUN,2000,40,7,47,0.851,0.149
2004_TUN,TUN,2004,44,10,54,0.815,0.185
2008_TUN,TUN,2008,14,12,26,0.538,0.462
2012_TUN,TUN,2012,63,20,83,0.759,0.241
2016_TUN,TUN,2016,41,20,61,0.672,0.328
1912_TUR,TUR,1912,2,0,2,1,0
1924_TUR,TUR,1924,22,0,22,1,0
1928_TUR,TUR,1928,31,0,31,1,0
1932_TUR,TUR,1932,1,0,1,1,0
1936_TUR,TUR,1936,52,2,54,0.963,0.037
1948_TUR,TUR,1948,61,1,62,0.984,0.016
1952_TUR,TUR,1952,51,0,51,1,0
1956_TUR,TUR,1956,23,0,23,1,0
1960_TUR,TUR,1960,48,3,51,0.941,0.059
1964_TUR,TUR,1964,28,0,28,1,0
1968_TUR,TUR,1968,40,0,40,1,0
1972_TUR,TUR,1972,42,1,43,0.977,0.023
1976_TUR,TUR,1976,35,1,36,0.972,0.028
1984_TUR,TUR,1984,52,1,53,0.981,0.019
1988_TUR,TUR,1988,44,5,49,0.898,0.102
1992_TUR,TUR,1992,44,5,49,0.898,0.102
1996_TUR,TUR,1996,44,9,53,0.83,0.17
2000_TUR,TUR,2000,42,15,57,0.737,0.263
2004_TUR,TUR,2004,44,20,64,0.688,0.313
2008_TUR,TUR,2008,48,19,67,0.716,0.284
2012_TUR,TUR,2012,48,64,112,0.429,0.571
2016_TUR,TUR,2016,53,47,100,0.53,0.47
2008_TUV,TUV,2008,2,1,3,0.667,0.333
2012_TUV,TUV,2012,2,1,3,0.667,0.333
2016_TUV,TUV,2016,1,0,1,1,0
1984_UAE,UAE,1984,7,0,7,1,0
1988_UAE,UAE,1988,12,0,12,1,0
1992_UAE,UAE,1992,13,0,13,1,0
1996_UAE,UAE,1996,4,0,4,1,0
2000_UAE,UAE,2000,4,0,4,1,0
2004_UAE,UAE,2004,4,0,4,1,0
2008_UAE,UAE,2008,6,2,8,0.75,0.25
2012_UAE,UAE,2012,24,2,26,0.923,0.077
2016_UAE,UAE,2016,9,3,12,0.75,0.25
1960_UAR,UAR,1960,74,0,74,1,0
1956_UGA,UGA,1956,3,0,3,1,0
1960_UGA,UGA,1960,10,0,10,1,0
1964_UGA,UGA,1964,11,2,13,0.846,0.154
1968_UGA,UGA,1968,11,0,11,1,0
1972_UGA,UGA,1972,31,2,33,0.939,0.061
1980_UGA,UGA,1980,13,0,13,1,0
1984_UGA,UGA,1984,24,2,26,0.923,0.077
1988_UGA,UGA,1988,20,4,24,0.833,0.167
1992_UGA,UGA,1992,6,2,8,0.75,0.25
1996_UGA,UGA,1996,7,3,10,0.7,0.3
2000_UGA,UGA,2000,9,4,13,0.692,0.308
2004_UGA,UGA,2004,9,2,11,0.818,0.182
2008_UGA,UGA,2008,9,2,11,0.818,0.182
2012_UGA,UGA,2012,11,4,15,0.733,0.267
2016_UGA,UGA,2016,14,7,21,0.667,0.333
1996_UKR,UKR,1996,146,85,231,0.632,0.368
2000_UKR,UKR,2000,139,91,230,0.604,0.396
2004_UKR,UKR,2004,124,115,239,0.519,0.481
2008_UKR,UKR,2008,127,116,243,0.523,0.477
2012_UKR,UKR,2012,119,111,230,0.517,0.483
2016_UKR,UKR,2016,87,117,204,0.426,0.574
1912_UNK,UNK,1912,2,0,2,1,0
1952_URS,URS,1952,255,40,295,0.864,0.136
1956_URS,URS,1956,289,45,334,0.865,0.135
1960_URS,URS,1960,281,64,345,0.814,0.186
1964_URS,URS,1964,307,79,386,0.795,0.205
1968_URS,URS,1968,300,86,386,0.777,0.223
1972_URS,URS,1972,353,94,447,0.79,0.21
1976_URS,URS,1976,344,145,489,0.703,0.297
1980_URS,URS,1980,403,172,575,0.701,0.299
1984_URS,URS,1984,74,25,99,0.747,0.253
1988_URS,URS,1988,397,185,582,0.682,0.318
1924_URU,URU,1924,26,0,26,1,0
1928_URU,URU,1928,17,0,17,1,0
1932_URU,URU,1932,2,0,2,1,0
1936_URU,URU,1936,37,0,37,1,0
1948_URU,URU,1948,60,1,61,0.984,0.016
1952_URU,URU,1952,31,1,32,0.969,0.031
1956_URU,URU,1956,21,0,21,1,0
1960_URU,URU,1960,34,0,34,1,0
1964_URU,URU,1964,23,0,23,1,0
1968_URU,URU,1968,21,6,27,0.778,0.222
1972_URU,URU,1972,10,3,13,0.769,0.231
1976_URU,URU,1976,7,2,9,0.778,0.222
1984_URU,URU,1984,17,1,18,0.944,0.056
1988_URU,URU,1988,14,1,15,0.933,0.067
1992_URU,URU,1992,16,0,16,1,0
1996_URU,URU,1996,12,2,14,0.857,0.143
2000_URU,URU,2000,12,3,15,0.8,0.2
2004_URU,URU,2004,13,2,15,0.867,0.133
2008_URU,URU,2008,9,3,12,0.75,0.25
2012_URU,URU,2012,24,3,27,0.889,0.111
2016_URU,URU,2016,12,5,17,0.706,0.294
1896_USA,USA,1896,14,0,14,1,0
1900_USA,USA,1900,68,7,75,0.907,0.093
1904_USA,USA,1904,518,6,524,0.989,0.011
1908_USA,USA,1908,122,0,122,1,0
1912_USA,USA,1912,174,0,174,1,0
1920_USA,USA,1920,274,14,288,0.951,0.049
1924_USA,USA,1924,297,26,323,0.92,0.08
1928_USA,USA,1928,257,47,304,0.845,0.155
