X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102
,ARC,ARC,ATH,ATH,BBL,BBL,BDM,BDM,BK3,BK3,BKB,BKB,BMF,BMF,BMX,BMX,BOX,BOX,CLB,CLB,CRD,CRD,CSL,CSL,CSP,CSP,CTR,CTR,DIV,DIV,EDR,EDR,EJP,EJP,EVE,EVE,FBL,FBL,FEN,FEN,GAR,GAR,GLF,GLF,GRY,GRY,GTR,GTR,HBL,HBL,HOC,HOC,JUD,JUD,KTE,KTE,MPN,MPN,MTB,MTB,OWS,OWS,ROW,ROW,RU7,RU7,SAL,SAL,SHO,SHO,SKB,SKB,SOF,SOF,SRF,SRF,SWA,SWA,SWM,SWM,TEN,TEN,TKW,TKW,TRI,TRI,TTE,TTE,VBV,VBV,VVO,VVO,WLF,WLF,WPO,WPO,WRE,WRE,Total,Total,Total
,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,m,w,all
SMR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,5
SOL,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,3
SOM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
SRB,-,-,2,3,-,-,-,-,4,-,-,12,-,-,-,-,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,1,-,-,-,-,-,-,2,1,-,-,-,-,3,4,-,-,-,-,-,-,-,-,6,1,2,3,-,2,-,-,3,-,-,-,-,12,-,-,13,-,4,-,43,44,87
SRI,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,9
SSD,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
STP,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
SUD,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4
SUI,-,-,8,16,-,-,-,1,-,-,-,-,-,1,2,1,-,-,-,1,4,1,2,2,-,-,6,-,-,1,-,1,4,-,2,2,-,-,4,-,4,1,-,2,-,-,-,-,-,-,-,-,1,1,-,1,-,-,3,3,-,-,6,3,-,-,3,3,-,2,-,-,-,-,-,-,-,-,5,2,-,2,-,-,2,2,-,1,2,4,-,-,-,-,-,-,1,-,59,54,113
SUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
SVK,-,1,5,4,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,2,-,2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,-,-,1,1,3,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,1,-,27,14,41
SWE,-,1,12,9,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,1,-,-,-,1,-,3,2,1,1,3,-,21,-,-,1,1,2,2,-,-,-,-,15,15,-,-,3,1,-,-,-,-,-,1,-,-,-,1,-,-,5,4,1,-,1,-,-,-,-,-,-,-,4,6,-,1,-,-,-,-,3,2,-,-,-,-,-,1,-,-,1,2,55,78,133
SWZ,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,4
SYR,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,5,1,6
TAN,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
TGA,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,3,6
THA,-,-,1,1,-,-,2,5,-,-,-,-,-,-,-,1,1,3,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,1,2,2,4,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,15,26,41
TJK,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,1,10
TKM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,5,4,9
TLS,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3
TOG,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,1,4
TPE,3,3,5,1,-,-,4,1,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,1,1,2,-,-,-,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,1,-,-,-,-,2,3,-,-,-,-,-,-,-,-,2,1,1,4,2,2,-,-,3,3,-,-,-,-,3,4,-,-,-,-,33,35,68
TTO,-,-,10,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,10,25
TUN,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,1,-,-,2,-,-,1,3,1,1,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,1,1,-,-,12,-,3,2,-,-,6,4,34,29,63
TUR,1,1,15,8,-,-,-,1,-,-,-,-,-,-,-,-,3,3,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,-,-,-,-,-,-,-,-,-,-,4,2,3,4,-,1,-,-,-,-,1,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,6,5,-,-,1,4,-,-,-,-,-,-,-,11,1,1,-,-,7,2,56,49,105
TUV,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2
UAE,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5
UGA,-,-,9,10,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,25
UKR,1,3,17,24,-,-,1,1,-,-,-,-,-,-,-,-,4,1,-,-,1,1,-,1,3,7,-,2,3,3,-,1,1,-,-,-,-,-,4,2,4,1,-,-,-,7,1,-,-,-,-,-,4,3,1,2,1,-,-,1,-,1,2,-,-,-,-,-,4,2,-,-,-,-,-,-,-,8,6,1,-,4,-,-,-,-,1,2,-,-,-,-,-,2,-,-,5,5,64,85,149
URU,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,11
USA,3,3,61,65,22,-,3,1,-,4,12,12,2,2,2,3,5,5,2,2,2,5,2,1,-,1,2,6,5,6,1,2,2,2,3,-,-,21,11,12,5,6,4,4,-,7,1,1,-,-,-,-,1,3,3,1,1,1,1,3,1,2,13,24,13,13,6,7,11,9,6,6,-,15,2,2,-,2,24,26,6,5,-,2,2,3,3,3,4,4,12,12,4,4,13,13,9,6,285,336,621
UZB,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,8,3,-,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,-,-,-,6,-,-,-,-,-,-,7,3,-,-,1,1,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,2,2,-,-,-,-,-,-,-,-,2,2,-,-,8,-,37,30,67
VAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,3
VEN,-,-,-,4,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,1,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,12,-,2,2,-,-,-,-,30,13,43
VIE,1,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,8,10,18
VIN,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3
YEM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,5
ZAM,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,21,27
ZIM,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,5
,64,64,1012,901,142,-,86,86,32,32,143,142,9,9,24,24,187,102,20,20,129,70,41,41,126,122,102,91,71,72,22,36,76,13,43,23,296,228,133,128,98,98,60,60,-,96,16,16,183,182,213,209,197,191,42,39,36,36,38,38,26,25,266,257,156,155,175,175,178,177,40,40,-,90,19,20,-,98,477,398,96,94,65,64,55,54,85,88,48,46,143,143,98,96,156,130,191,96,5910,5409,11319
,128,128,1913,1913,142,142,172,172,64,64,285,285,18,18,48,48,289,289,40,40,199,199,82,82,248,248,193,193,143,143,58,58,89,89,66,66,524,524,261,261,196,196,120,120,96,96,32,32,365,365,422,422,388,388,81,81,72,72,76,76,51,51,523,523,311,311,350,350,355,355,80,80,90,90,39,39,98,98,875,875,190,190,129,129,109,109,173,173,94,94,286,286,194,194,286,286,287,287,5910,5409,11319
