id,Region,Year,male_medal_efficiency,female_medal_efficiency,total_medal_efficiency
1996_CHA,CHA,1996,0,0,0
2000_CHA,CHA,2000,0,0,0
2004_CHA,CHA,2004,0,0,0
2008_CHA,CHA,2008,0,0,0
2012_CHA,CHA,2012,0,0,0
2016_CHA,CHA,2016,0,0,0
1912_CHI,CHI,1912,0,0,0
1920_CHI,CHI,1920,0,0,0
1924_CHI,CHI,1924,0,0,0
1928_CHI,CHI,1928,0.053,0,0.053
1936_CHI,CHI,1936,0,0,0
1948_CHI,CHI,1948,0,0,0
1952_CHI,CHI,1952,0.069,0,0.065
1956_CHI,CHI,1956,0.118,1,0.167
1960_CHI,CHI,1960,0,0,0
1964_CHI,CHI,1964,0,0,0
1968_CHI,CHI,1968,0,0,0
1972_CHI,CHI,1972,0,0,0
1976_CHI,CHI,1976,0,0,0
1984_CHI,CHI,1984,0,0,0
1988_CHI,CHI,1988,0.095,0,0.091
1992_CHI,CHI,1992,0,0,0
1994_CHI,CHI,1994,0,0,0
1996_CHI,CHI,1996,0,0,0
1998_CHI,CHI,1998,0,0,0
2000_CHI,CHI,2000,0.395,0,0.34
2002_CHI,CHI,2002,0,0,0
2004_CHI,CHI,2004,0.313,0,0.227
2006_CHI,CHI,2006,0,0,0
2008_CHI,CHI,2008,0.1,0,0.077
2010_CHI,CHI,2010,0,0,0
2012_CHI,CHI,2012,0,0,0
2014_CHI,CHI,2014,0,0,0
2016_CHI,CHI,2016,0,0,0
1932_CHN,CHN,1932,0,0,0
1936_CHN,CHN,1936,0,0,0
1948_CHN,CHN,1948,0,0,0
1952_CHN,CHN,1952,0,0,0
1980_CHN,CHN,1980,0,0,0
1984_CHN,CHN,1984,0.294,0.909,0.536
1988_CHN,CHN,1988,0.174,0.45,0.301
1992_CHN,CHN,1992,0.364,0.776,0.583
1994_CHN,CHN,1994,0,0.235,0.167
1996_CHN,CHN,1996,0.486,0.781,0.67
1998_CHN,CHN,1998,0.533,0.214,0.298
2000_CHN,CHN,2000,0.912,0.578,0.69
2002_CHN,CHN,2002,0.381,0.244,0.288
2004_CHN,CHN,2004,0.64,0.704,0.681
2006_CHN,CHN,2006,0.229,0.421,0.329
2008_CHN,CHN,2008,0.377,0.872,0.616
2010_CHN,CHN,2010,0.233,0.393,0.337
2012_CHN,CHN,2012,0.688,0.684,0.685
